pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0000,orig,A,-0.474942,-0.974942,-7.599942,779,386
p0000,swap,A,-0.202841,-1.702841,-7.077841,779,288
p0001,orig,B,-1.224175,-0.349175,-7.974175,872,336
p0001,swap,A,-0.143588,-2.018588,-7.643588,872,322
p0002,orig,A,-0.694369,-0.694369,-7.319369,1119,443
p0002,swap,A,-0.202560,-1.702560,-7.202560,1119,426
p0003,orig,A,-0.049705,-3.174705,-5.049705,1537,638
p0003,swap,B,-1.911475,-0.161475,-7.411475,1537,620
p0004,orig,B,-1.602127,-0.227127,-6.977127,1316,534
p0004,swap,A,-0.120210,-2.245210,-4.995210,1316,520
p0005,orig,A,-0.430061,-1.055061,-7.055061,393,169
p0005,swap,A,-0.282749,-1.407749,-7.032749,393,154
p0006,orig,A,-0.634512,-0.759512,-7.509512,609,238
p0006,swap,A,-0.145368,-2.020368,-6.145368,609,225
p0007,orig,A,-0.430886,-1.055886,-7.180886,728,278
p0007,swap,A,-0.090784,-2.465785,-6.715785,728,265
p0008,orig,A,-0.080551,-2.580551,-6.580551,598,235
p0008,swap,B,-1.601675,-0.226675,-8.601675,598,223
p0009,orig,A,-0.055990,-2.930990,-7.305990,673,264
p0009,swap,B,-1.057031,-0.432031,-7.932032,673,251
p0010,orig,A,-0.639339,-0.764339,-5.264339,731,279
p0010,swap,A,-0.196694,-1.821694,-4.196694,731,266
p0011,orig,B,-2.584188,-0.084188,-5.584188,817,313
p0011,swap,A,-0.059810,-3.059810,-4.559811,817,299
p0012,orig,A,-0.433889,-1.058889,-5.558888,643,258
p0012,swap,A,-0.640177,-0.765177,-5.140177,643,245
p0013,orig,B,-0.982249,-0.482249,-5.232249,860,332
p0013,swap,A,-0.217038,-1.717038,-4.217038,860,320
p0014,orig,A,-0.315821,-1.315821,-6.565821,755,285
p0014,swap,A,-0.145643,-2.020643,-6.270643,755,270
p0015,orig,A,-0.431721,-1.056721,-6.056721,846,331
p0015,swap,A,-0.317657,-1.317657,-5.692657,846,318
p0016,orig,A,-0.185494,-1.810494,-5.310494,1306,527
p0016,swap,A,-0.694953,-0.694953,-6.819953,1306,514
p0017,orig,B,-1.601397,-0.226397,-7.226397,588,233
p0017,swap,A,-0.110553,-2.485553,-3.860553,588,221
p0018,orig,B,-1.138149,-0.388149,-7.138149,536,209
p0018,swap,A,-0.084415,-2.834415,-3.834415,536,197
p0019,orig,A,-0.228111,-1.603111,-6.103111,696,266
p0019,swap,A,-0.019705,-4.144705,-5.644705,696,254
p0020,orig,A,-0.044754,-3.294754,-5.044754,585,233
p0020,swap,B,-1.224774,-0.349774,-7.224774,585,220
p0021,orig,A,-0.043658,-3.543658,-4.293658,566,216
p0021,swap,B,-2.127977,-0.127977,-7.627977,566,204
p0022,orig,B,-1.701947,-0.201947,-8.076947,511,191
p0022,swap,A,-0.049983,-3.049983,-6.674983,511,177
p0023,orig,A,-0.203258,-1.703258,-6.453258,460,184
p0023,swap,A,-0.129446,-2.129446,-6.129446,460,171
p0024,orig,A,-0.282574,-1.407574,-6.782575,610,238
p0024,swap,A,-0.070479,-2.695479,-7.820479,610,225
p0025,orig,B,-2.018432,-0.143432,-7.768432,633,240
p0025,swap,A,-0.011536,-4.511536,-7.761536,633,228
p0026,orig,A,-0.014564,-4.264564,-8.139564,619,239
p0026,swap,A,-0.694078,-0.694078,-7.694078,619,226
p0027,orig,A,-0.137462,-2.262462,-3.762462,511,177
p0027,swap,B,-2.352008,-0.102008,-7.102008,511,177
p0028,orig,A,-0.116610,-2.241610,-5.741610,1323,536
p0028,swap,A,-0.117513,-2.242513,-5.492513,1323,524
p0029,orig,A,-0.104977,-2.354977,-5.479977,1198,472
p0029,swap,A,-0.116758,-2.241758,-5.741758,1198,459
p0030,orig,A,-0.064562,-2.814562,-6.189561,1292,520
p0030,swap,A,-0.103663,-2.353663,-5.853663,1292,508
p0031,orig,B,-1.224362,-0.349362,-8.099362,531,209
p0031,swap,A,-0.253793,-1.503793,-6.503793,531,196
p0032,orig,A,-0.424784,-1.174784,-3.299784,431,172
p0032,swap,B,-4.511153,-0.011153,-9.886152,431,160
p0033,orig,A,-0.128996,-2.128996,-6.253996,487,187
p0033,swap,B,-3.288297,-0.038297,-9.288298,487,175
p0034,orig,A,-0.202765,-1.702765,-6.827765,438,175
p0034,swap,B,-0.974614,-0.474614,-8.349613,438,162
p0035,orig,A,-0.185918,-1.935918,-3.685918,402,168
p0035,swap,B,-4.511259,-0.011259,-9.386258,402,156
p0036,orig,B,-4.019129,-0.019129,-7.519129,443,174
p0036,swap,A,-0.051183,-3.051183,-6.051183,443,162
p0037,orig,A,-0.431039,-1.056039,-6.306039,480,186
p0037,swap,B,-2.696462,-0.071462,-6.821462,480,173
p0038,orig,A,-0.635973,-0.760973,-6.510972,494,188
p0038,swap,A,-0.209699,-1.709699,-4.959699,494,175
p0039,orig,A,-0.024675,-3.899675,-5.524675,420,172
p0039,swap,B,-2.579418,-0.079418,-7.954418,420,159
p0040,orig,A,-0.023051,-3.898051,-6.148051,498,190
p0040,swap,B,-1.503257,-0.253257,-7.753257,498,177
p0041,orig,A,-0.529404,-0.904404,-5.154404,412,170
p0041,swap,B,-1.139253,-0.389253,-6.389253,412,157
p0042,orig,A,-0.204707,-1.704707,-6.204707,490,188
p0042,swap,A,-0.431324,-1.056324,-6.931324,490,175
p0043,orig,A,-0.584602,-0.834602,-4.834602,412,157
p0043,swap,B,-1.055697,-0.430697,-6.680696,412,157
p0044,orig,B,-2.695804,-0.070804,-8.070805,507,190
p0044,swap,A,-0.011837,-4.636837,-6.261837,507,177
p0045,orig,A,-0.051115,-3.051115,-6.176115,810,308
p0045,swap,A,-0.635243,-0.760243,-6.385243,810,296
p0046,orig,A,-0.227783,-1.602783,-6.352783,646,257
p0046,swap,A,-0.181702,-1.806702,-6.556702,646,244
p0047,orig,A,-0.254364,-1.504364,-6.254364,666,259
p0047,swap,A,-0.254433,-1.504433,-6.254434,666,247
p0048,orig,B,-1.138400,-0.388400,-6.638400,527,207
p0048,swap,A,-0.260933,-1.510933,-4.760933,527,194
p0049,orig,B,-2.018794,-0.143794,-7.268794,460,176
p0049,swap,B,-1.324057,-0.324057,-4.574057,460,171
p0050,orig,B,-3.048939,-0.048940,-9.173940,453,183
p0050,swap,B,-0.829393,-0.579393,-5.829393,453,171
p0051,orig,A,-0.662639,-0.787639,-3.537639,659,259
p0051,swap,B,-1.225467,-0.350467,-6.475467,659,248
p0052,orig,A,-0.188206,-1.813206,-4.813206,704,267
p0052,swap,B,-0.976456,-0.476456,-6.351456,704,253
p0053,orig,B,-2.130699,-0.130699,-5.630699,393,160
p0053,swap,A,-0.150506,-2.025506,-4.900506,393,155
p0054,orig,B,-0.975666,-0.475666,-6.975666,791,306
p0054,swap,A,-0.015229,-4.265229,-7.015229,791,292
p0055,orig,B,-1.503487,-0.253487,-7.128487,939,364
p0055,swap,A,-0.007718,-5.007718,-7.007718,939,351
p0056,orig,A,-0.282717,-1.407717,-6.782717,1161,460
p0056,swap,A,-0.063228,-2.813228,-6.813228,1161,449
p0057,orig,B,-1.911243,-0.161243,-7.036243,373,153
p0057,swap,A,-0.314566,-1.564566,-2.814566,373,141
p0058,orig,B,-1.806017,-0.181017,-7.056017,362,153
p0058,swap,A,-0.341978,-1.341978,-3.591978,362,139
p0059,orig,B,-2.930491,-0.055491,-8.180491,420,165
p0059,swap,A,-0.576860,-0.826860,-7.326860,420,159
p0060,orig,A,-0.351099,-1.226099,-6.101099,378,152
p0060,swap,B,-1.805423,-0.180423,-7.680423,378,141
p0061,orig,A,-0.393772,-1.143772,-5.018772,411,167
p0061,swap,B,-1.601231,-0.226231,-7.476231,411,157
p0062,orig,A,-0.202351,-1.702351,-7.202351,409,168
p0062,swap,B,-3.288514,-0.038514,-8.663514,409,157
p0063,orig,A,-0.255381,-1.505381,-5.755382,442,174
p0063,swap,B,-3.049279,-0.049279,-8.174279,442,162
p0064,orig,B,-2.128371,-0.128371,-6.753371,561,223
p0064,swap,A,-0.051886,-3.051886,-5.801886,561,203
p0065,orig,B,-3.168511,-0.043511,-8.293510,584,231
p0065,swap,A,-0.004273,-5.754273,-6.879273,584,219
p0066,orig,A,-0.476237,-0.976237,-6.226237,490,180
p0066,swap,A,-0.115505,-2.240505,-5.990505,490,175
