pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0000,orig,B,-19.5000,0.0000,-20.5000,779,2030
p0000,swap,A,0.0000,-21.2500,-20.3750,779,1162
p0001,orig,B,-17.5000,0.0000,-19.7500,872,1294
p0001,swap,A,-0.0000,-15.7500,-15.2500,872,1291
p0002,orig,A,-0.0303,-3.5303,-7.5303,1119,1689
p0002,swap,B,-2.3506,-0.1006,-7.8506,1119,1686
p0003,orig,A,0.0000,-19.7500,-19.2500,1537,2449
p0003,swap,B,-21.8750,0.0000,-21.6250,1537,2411
p0004,orig,B,-22.3750,0.0000,-20.5000,1316,2018
p0004,swap,A,-0.0000,-12.7500,-14.0000,1316,2008
p0005,orig,A,-0.0525,-3.0525,-5.5525,393,627
p0005,swap,B,-12.5000,-0.0000,-14.5000,393,600
p0006,orig,A,-0.0012,-6.7512,-11.7512,609,913
p0006,swap,B,-12.2500,-0.0000,-19.2500,609,899
p0007,orig,B,-21.6250,0.0000,-22.0000,728,1083
p0007,swap,A,0.0000,-19.2500,-19.7500,728,1064
p0008,orig,A,0.0000,-19.5000,-16.7500,598,913
p0008,swap,B,-23.0000,0.0000,-21.5000,598,889
p0009,orig,A,0.0000,-17.5000,-17.0000,673,1009
p0009,swap,B,-20.8750,0.0000,-21.5000,673,995
p0010,orig,B,-20.0000,0.0000,-19.5000,731,1081
p0010,swap,A,0.0000,-18.2500,-22.7500,731,1079
p0011,orig,B,-17.5000,0.0000,-19.5000,817,1236
p0011,swap,A,-0.0000,-12.5000,-17.0000,817,1236
p0012,orig,A,-0.3869,-1.1369,-10.3869,643,1008
p0012,swap,A,-0.0001,-9.2501,-13.7501,643,998
p0013,orig,B,-23.3750,0.0000,-23.6250,860,1335
p0013,swap,A,0.0000,-21.1250,-20.8750,860,1335
p0014,orig,B,-11.2500,-0.0000,-12.0000,755,1211
p0014,swap,A,-0.0006,-7.5006,-9.7506,755,1161
p0015,orig,A,-0.0002,-8.7502,-11.2502,846,1343
p0015,swap,B,-10.0000,-0.0000,-17.7500,846,1393
p0016,orig,A,-0.0004,-7.7504,-11.5004,1306,3927
p0016,swap,B,-21.8750,0.0000,-21.5000,1306,2219
p0017,orig,B,-13.7500,-0.0000,-12.7500,588,977
p0017,swap,A,-0.0000,-17.2500,-13.7500,588,916
p0018,orig,B,-17.7500,0.0000,-18.5000,536,899
p0018,swap,A,0.0000,-22.7500,-17.0000,536,890
p0019,orig,B,-9.2501,-0.0001,-12.2501,696,1143
p0019,swap,A,-0.0000,-17.7500,-11.7500,696,1151
p0020,orig,A,-0.0000,-17.7500,-14.0000,585,1043
p0020,swap,B,-14.2500,-0.0000,-15.0000,585,989
p0021,orig,A,0.0000,-23.3750,-18.5000,566,942
p0021,swap,B,-22.0000,0.0000,-21.0000,566,924
p0022,orig,B,-21.6250,0.0000,-22.8750,511,830
p0022,swap,A,0.0000,-19.2500,-17.2500,511,815
p0023,orig,B,-1.7069,-0.2069,-5.2069,460,772
p0023,swap,B,-0.9441,-0.6941,-2.1941,460,722
p0024,orig,B,-1.1390,-0.3890,-6.1390,610,957
p0024,swap,A,-0.0002,-8.7502,-12.0002,610,934
p0025,orig,B,-5.5041,-0.0041,-13.2541,633,960
