pair_id,order,greedy_gen,s1,s2,s3,s4,s5,ms
p0000,orig,A,A,A,A,A,A,2014
p0000,swap,A,A,B,A,A,B,1757
p0001,orig,B,B,B,B,B,A,1879
p0001,swap,A,A,A,A,A,A,1849
p0002,orig,A,A,B,B,A,B,2479
p0002,swap,A,A,A,B,A,B,2521
p0003,orig,A,A,A,A,A,A,3547
p0003,swap,B,B,B,A,B,A,3515
p0004,orig,B,B,B,B,B,B,2975
p0004,swap,A,A,A,A,A,A,2955
p0005,orig,A,B,A,A,B,A,966
p0005,swap,A,B,A,B,B,A,933
p0006,orig,A,B,A,A,B,B,1435
p0006,swap,A,A,A,A,A,A,1308
p0007,orig,A,A,A,A,A,A,1557
p0007,swap,A,A,A,A,B,A,1529
p0008,orig,A,A,A,A,A,A,1345
p0008,swap,B,B,B,B,B,B,1408
p0009,orig,A,A,A,A,A,A,1600
p0009,swap,B,A,B,A,A,B,1651
p0010,orig,A,B,B,B,B,A,1747
p0010,swap,A,A,A,A,A,A,1861
p0011,orig,B,B,B,B,B,B,1994
p0011,swap,A,A,A,A,A,A,1990
p0012,orig,A,A,A,A,B,A,1601
p0012,swap,A,A,A,A,A,A,1568
p0013,orig,B,A,B,B,B,B,2191
p0013,swap,A,A,A,A,A,B,2151
p0014,orig,A,A,A,A,A,B,1795
p0014,swap,A,A,A,A,A,A,1847
p0015,orig,A,A,A,B,A,B,2131
p0015,swap,A,A,A,B,A,A,2058
p0016,orig,A,A,A,A,A,A,3313
p0016,swap,A,B,A,B,B,A,3434
p0017,orig,B,B,B,B,B,B,1742
p0017,swap,A,A,A,A,A,A,1508
p0018,orig,B,A,B,B,A,B,1411
p0018,swap,A,A,A,A,A,A,1338
p0019,orig,A,B,A,A,A,B,1694
p0019,swap,A,A,A,A,A,A,1691
p0020,orig,A,A,A,A,A,A,1522
p0020,swap,B,B,B,B,B,A,1513
p0021,orig,A,A,A,A,A,A,1453
p0021,swap,B,B,B,B,B,B,1416
p0022,orig,B,B,B,A,B,B,1224
p0022,swap,A,A,A,A,A,A,1210
p0023,orig,A,A,A,A,A,B,1220
p0023,swap,A,A,B,A,A,A,1226
p0024,orig,A,B,A,A,A,A,1531
p0024,swap,A,A,A,A,A,A,1530
p0025,orig,B,B,B,B,A,B,1642
p0025,swap,A,A,A,A,A,A,1539
p0026,orig,A,A,A,A,A,A,1641
p0026,swap,A,B,A,A,A,B,1526
p0027,orig,A,A,A,A,A,A,1212
p0027,swap,B,B,B,B,B,A,1228
p0028,orig,A,B,A,A,A,A,3538
p0028,swap,A,A,A,A,A,A,3721
p0029,orig,A,A,A,A,B,A,3141
p0029,swap,A,A,A,A,A,A,3292
p0030,orig,A,A,A,A,A,A,3426
p0030,swap,A,A,A,A,A,A,3432
p0031,orig,B,B,A,B,B,B,1437
p0031,swap,A,A,A,A,A,A,1326
p0032,orig,A,B,A,A,A,A,1131
p0032,swap,B,B,B,B,B,B,1095
p0033,orig,A,A,A,A,B,A,1220
p0033,swap,B,B,B,B,B,B,1185
p0034,orig,A,A,B,A,A,B,1141
p0034,swap,B,B,B,B,A,B,1094
p0035,orig,A,A,A,A,B,A,1105
p0035,swap,B,B,B,B,B,B,1038
p0036,orig,B,B,B,B,B,B,1082
p0036,swap,A,A,B,A,A,A,1080
p0037,orig,A,A,A,A,A,A,1243
p0037,swap,B,B,B,B,B,B,1214
p0038,orig,A,A,B,B,A,B,1342
p0038,swap,A,A,A,A,A,A,1183
p0039,orig,A,A,A,A,A,A,1080
p0039,swap,B,B,A,B,A,B,1044
p0040,orig,A,A,A,A,A,A,1205
p0040,swap,B,A,B,B,B,B,1315
p0041,orig,A,B,A,A,A,A,1091
p0041,swap,B,B,B,B,B,B,1045
p0042,orig,A,A,A,A,A,A,1193
