pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0000,orig,B,-18.0000,0.0000,-19.3750,779,1367
p0000,swap,A,0.0000,-19.2500,-20.5000,779,1156
p0001,orig,B,-16.7500,0.0000,-17.5000,872,1296
p0001,swap,A,-0.0000,-12.0000,-14.2500,872,1362
p0002,orig,B,-2.2157,-0.2157,-2.4657,1119,2102
p0002,swap,B,-6.5030,-0.0030,-6.5030,1119,2290
p0003,orig,A,-0.0000,-14.0000,-16.2500,1537,3198
p0003,swap,B,-19.2500,0.0000,-20.5000,1537,3162
p0004,orig,B,-20.0000,0.0000,-18.2500,1316,2620
p0004,swap,A,-0.0015,-6.5015,-12.0015,1316,2603
p0005,orig,B,-4.0410,-0.0410,-3.7910,393,780
p0005,swap,B,-11.7500,-0.0000,-14.2500,393,740
p0006,orig,A,-0.0111,-4.5111,-12.7611,609,1145
p0006,swap,B,-14.0000,-0.0000,-18.7500,609,1145
p0007,orig,B,-21.3750,0.0000,-21.2500,728,1371
p0007,swap,A,-0.1269,-2.1269,-10.8769,728,1363
p0008,orig,A,-0.0000,-11.2500,-13.0000,598,1141
p0008,swap,B,-22.8750,0.0000,-20.6250,598,1134
p0009,orig,A,-0.3144,-1.3144,-6.8144,673,1282
p0009,swap,B,-22.2500,0.0000,-22.2500,673,1292
p0010,orig,B,-18.0000,0.0000,-17.7500,731,1377
p0010,swap,A,0.0000,-18.2500,-18.5000,731,1376
p0011,orig,B,-15.2500,-0.0000,-17.8750,817,1549
p0011,swap,A,-0.0012,-7.0012,-8.0012,817,1528
p0012,orig,B,-4.5251,-0.0251,-4.2751,643,1250
p0012,swap,B,-1.9106,-0.1606,-7.9106,643,1239
p0013,orig,B,-22.8750,0.0000,-21.8750,860,1637
p0013,swap,A,0.0000,-18.7500,-17.5000,860,1653
p0014,orig,B,-6.7512,-0.0012,-14.7512,755,1428
p0014,swap,B,-4.5111,-0.0111,-11.2611,755,1401
p0015,orig,A,-0.0000,-14.0000,-16.5000,846,1566
p0015,swap,B,-16.2500,-0.0000,-18.7500,846,1290
p0016,orig,B,-0.8259,-0.5759,-11.8259,1306,2005
p0016,swap,B,-21.0000,0.0000,-20.3750,1306,1997
p0017,orig,B,-15.5000,-0.0000,-10.7500,588,901
p0017,swap,A,-0.0000,-17.0000,-13.2500,588,882
p0018,orig,B,-10.4514,-0.2014,-1.7014,536,800
p0018,swap,C,-4.2666,-6.0166,-0.0166,536,787
p0019,orig,B,-1.2944,-0.7944,-1.2944,696,1023
p0019,swap,B,-5.3914,-0.3914,-1.1414,696,1007
p0020,orig,C,-1.9107,-7.6607,-0.1607,585,895
p0020,swap,B,-8.1934,-0.6934,-0.6934,585,882
p0021,orig,A,-0.0411,-3.2911,-5.7911,566,830
p0021,swap,B,-17.0000,-0.0000,-15.7500,566,818
p0022,orig,B,-16.5000,-0.0000,-15.0000,511,731
p0022,swap,A,-0.0000,-12.2500,-11.5000,511,717
p0023,orig,B,-9.5053,-0.0053,-5.2553,460,701
p0023,swap,B,-4.8580,-0.1080,-2.3580,460,689
p0024,orig,B,-7.5021,-0.0021,-6.5021,610,915
p0024,swap,B,-8.2503,-0.0003,-10.0003,610,902
p0025,orig,B,-10.7501,-0.0001,-9.0001,633,926
p0025,swap,B,-6.2519,-0.0019,-12.0019,633,914
p0026,orig,A,-0.3133,-1.3133,-10.0633,619,917
p0026,swap,B,-16.7500,-0.0000,-15.0000,619,904
p0027,orig,A,0.0000,-23.8750,-18.0000,511,717
p0027,swap,B,-25.0000,0.0000,-20.1250,511,718
p0028,orig,B,-7.0061,-0.0061,-5.2561,1323,2018
p0028,swap,B,-5.0070,-0.0070,-8.2570,1323,2014
p0029,orig,A,-0.3872,-1.1372,-8.1372,1198,1813
p0029,swap,B,-12.0000,-0.0000,-16.7500,1198,1808
p0030,orig,B,-6.5021,-0.0021,-7.5021,1292,1981
p0030,swap,B,-5.5046,-0.0046,-7.5046,1292,2006
p0031,orig,B,-8.7542,-0.0042,-5.5042,531,839
p0031,swap,B,-4.0266,-0.0266,-4.7766,531,863
p0032,orig,A,0.0000,-21.5000,-17.7500,431,741
p0032,swap,B,-21.8750,0.0000,-17.7500,431,741
p0033,orig,A,0.0000,-21.1250,-18.0000,487,907
p0033,swap,B,-19.0000,0.0000,-17.5000,487,939
p0034,orig,C,-1.1701,-3.4201,-0.4201,438,860
p0034,swap,B,-13.7500,-0.0000,-11.0000,438,842
p0035,orig,A,-0.0000,-20.0000,-16.2500,402,841
p0035,swap,B,-20.5000,-0.0000,-16.0000,402,849
p0036,orig,B,-22.6250,0.0000,-19.2500,443,932
p0036,swap,A,0.0000,-24.2500,-21.6250,443,843
p0037,orig,A,-0.0000,-20.7500,-16.5000,480,899
p0037,swap,B,-22.0000,0.0000,-19.5000,480,897
p0038,orig,B,-17.0000,-0.0000,-15.2500,494,952
p0038,swap,A,-0.3307,-1.5807,-2.5807,494,917
p0039,orig,A,-0.0000,-16.5000,-10.5000,420,812
p0039,swap,B,-22.2500,0.0000,-18.6250,420,799
p0040,orig,B,-11.7500,-0.0000,-15.5000,498,938
p0040,swap,B,-13.5000,-0.0000,-11.5000,498,930
p0041,orig,A,-0.0638,-6.3138,-2.8138,412,798
p0041,swap,B,-13.7500,-0.0000,-11.2500,412,793
p0042,orig,B,-7.2526,-0.0026,-6.2526,490,929
p0042,swap,B,-14.7500,-0.0000,-13.2500,490,913
p0043,orig,A,-0.0869,-4.8369,-2.5869,412,795
p0043,swap,B,-13.5000,-0.0000,-10.7500,412,789
p0044,orig,B,-17.5000,-0.0000,-15.2500,507,940
p0044,swap,A,-0.0002,-14.0002,-8.7502,507,931
p0045,orig,A,-0.0000,-18.7500,-14.0000,810,1542
p0045,swap,B,-14.2500,-0.0000,-12.2500,810,1543
