pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0000,orig,B,-1.0544,-0.4294,-8.1794,791,377
p0000,swap,A,-0.4756,-0.9756,-7.2256,791,296
p0001,orig,B,-2.5794,-0.0794,-8.5794,884,343
p0001,swap,A,-0.2024,-1.7024,-7.7024,884,330
p0002,orig,B,-1.9111,-0.1611,-8.1611,1131,451
p0002,swap,A,-0.2528,-1.5028,-7.6278,1131,434
p0003,orig,A,-0.0717,-2.8217,-4.6967,1549,647
p0003,swap,B,-2.5797,-0.0797,-7.8297,1549,629
p0004,orig,B,-1.9118,-0.1618,-7.1618,1328,539
p0004,swap,A,-0.1705,-1.9205,-4.6705,1328,525
p0005,orig,B,-1.6016,-0.2266,-7.8516,405,169
p0005,swap,B,-0.8274,-0.5774,-7.9524,405,156
p0006,orig,A,-0.6952,-0.6952,-7.8202,621,239
p0006,swap,A,-0.2279,-1.6029,-6.7279,621,227
p0007,orig,A,-0.3149,-1.3149,-7.5649,740,283
p0007,swap,A,-0.1153,-2.2403,-6.6153,740,270
p0008,orig,A,-0.1812,-1.8062,-6.9312,610,239
p0008,swap,B,-1.4072,-0.2822,-9.5322,610,226
p0009,orig,A,-0.1291,-2.1291,-7.1291,685,265
p0009,swap,B,-0.8283,-0.5783,-7.9533,685,258
p0010,orig,A,-0.6390,-0.7640,-5.2640,743,289
p0010,swap,A,-0.5043,-1.0043,-3.6293,743,282
p0011,orig,B,-1.9151,-0.1651,-5.5401,829,331
p0011,swap,A,-0.1180,-2.3680,-4.1180,829,325
p0012,orig,B,-0.8316,-0.5816,-5.5816,655,280
p0012,swap,B,-0.9034,-0.5284,-5.6534,655,271
p0013,orig,B,-2.1315,-0.1315,-6.0065,872,367
p0013,swap,A,-0.1957,-1.8207,-4.1957,872,364
p0014,orig,A,-0.2831,-1.4081,-7.1581,767,320
p0014,swap,A,-0.1294,-2.1294,-6.7544,767,312
p0015,orig,A,-0.4780,-0.9780,-5.8530,858,376
p0015,swap,A,-0.3542,-1.2292,-5.4792,858,367
p0016,orig,A,-0.1852,-1.8102,-5.4352,1318,610
p0016,swap,B,-0.8273,-0.5773,-7.3273,1318,600
p0017,orig,B,-1.5036,-0.2536,-6.6286,600,269
p0017,swap,A,-0.1109,-2.7359,-3.2359,600,256
p0018,orig,B,-1.4073,-0.2823,-7.2823,548,240
p0018,swap,A,-0.0807,-2.9557,-3.7057,548,230
p0019,orig,A,-0.2295,-1.6045,-5.6045,708,311
p0019,swap,A,-0.0308,-3.7808,-4.9058,708,302
p0020,orig,A,-0.0457,-3.2957,-4.9207,597,266
p0020,swap,B,-1.6015,-0.2265,-7.3515,597,254
p0021,orig,A,-0.0772,-3.0772,-3.5772,578,261
p0021,swap,B,-2.2390,-0.1140,-7.4890,578,248
p0022,orig,B,-2.5794,-0.0794,-8.2044,523,229
p0022,swap,A,-0.0913,-2.4663,-6.2163,523,219
p0023,orig,A,-0.6947,-0.6947,-6.8197,472,205
p0023,swap,A,-0.3895,-1.1395,-6.1395,472,194
p0024,orig,A,-0.5779,-0.8279,-6.4529,622,263
p0024,swap,A,-0.3145,-1.3145,-7.0645,622,254
p0025,orig,B,-2.5797,-0.0797,-7.7047,645,286
p0025,swap,A,-0.0308,-3.5308,-7.0308,645,277
p0026,orig,A,-0.0305,-3.5305,-7.6555,631,266
p0026,swap,B,-1.4073,-0.2823,-7.5323,631,258
p0027,orig,A,-0.2619,-1.6369,-3.3869,523,221
p0027,swap,B,-1.9124,-0.1624,-6.7874,523,221
p0028,orig,A,-0.3196,-1.3196,-5.1946,1335,608
p0028,swap,A,-0.2066,-1.7066,-5.4566,1335,605
p0029,orig,A,-0.2299,-1.6049,-5.6049,1210,544
p0029,swap,A,-0.1635,-1.9135,-6.0385,1210,536
p0030,orig,A,-0.1625,-1.9125,-6.4125,1304,598
p0030,swap,A,-0.1836,-1.8086,-5.8086,1304,589
p0031,orig,B,-2.4644,-0.0894,-9.0894,543,239
p0031,swap,B,-0.8270,-0.5770,-7.4520,543,225
p0032,orig,A,-0.5309,-1.0309,-2.9059,443,194
p0032,swap,B,-5.1310,-0.0060,-10.0060,443,182
p0033,orig,A,-0.2280,-1.6030,-6.1030,499,209
p0033,swap,B,-3.5301,-0.0301,-8.9051,499,199
p0034,orig,A,-0.4297,-1.0547,-7.3047,450,203
p0034,swap,B,-2.1274,-0.1274,-9.0024,450,191
p0035,orig,B,-0.9592,-0.5842,-2.8342,414,185
p0035,swap,B,-5.5042,-0.0042,-10.1292,414,173
p0036,orig,B,-4.2656,-0.0156,-7.2656,455,199
p0036,swap,A,-0.3197,-1.3197,-5.1947,455,188
p0037,orig,B,-1.4089,-0.2839,-6.5339,492,205
p0037,swap,B,-2.8144,-0.0644,-6.3144,492,195
p0038,orig,B,-0.9779,-0.4779,-6.6029,506,208
p0038,swap,A,-0.2655,-1.5155,-4.5155,506,198
p0039,orig,A,-0.0593,-3.0593,-4.5593,432,192
p0039,swap,B,-2.4649,-0.0899,-7.2149,432,179
p0040,orig,A,-0.1005,-2.4755,-4.6005,510,210
p0040,swap,B,-1.7036,-0.2036,-7.0786,510,199
p0041,orig,A,-0.7010,-0.7010,-4.9510,424,192
p0041,swap,B,-1.4094,-0.2844,-6.0344,424,177
p0042,orig,A,-0.4327,-1.0577,-6.1827,502,210
p0042,swap,A,-0.6968,-0.6968,-6.5718,502,199
p0043,orig,B,-0.9049,-0.5299,-5.1549,424,179
p0043,swap,B,-1.4083,-0.2833,-6.6583,424,179
p0044,orig,B,-3.6519,-0.0269,-8.2769,519,232
p0044,swap,A,-0.0135,-4.5135,-6.1385,519,221
p0045,orig,A,-0.0563,-2.9313,-6.8063,822,353
p0045,swap,B,-1.1388,-0.3888,-6.7638,822,348
p0046,orig,A,-0.4302,-1.0552,-6.9302,658,296
p0046,swap,A,-0.4754,-0.9754,-7.1004,658,285
p0047,orig,A,-0.3888,-1.1388,-6.6388,678,298
p0047,swap,B,-0.9003,-0.5253,-6.6503,678,288
p0048,orig,B,-1.7022,-0.2022,-7.4522,539,239
p0048,swap,A,-0.5335,-0.9085,-4.6585,539,226
p0049,orig,B,-2.2389,-0.1139,-7.4889,472,202
p0049,swap,B,-1.9267,-0.1767,-4.1767,472,198
p0050,orig,B,-4.1413,-0.0163,-9.5163,465,208
p0050,swap,B,-1.6029,-0.2279,-6.2279,465,196
p0051,orig,A,-0.6421,-0.8921,-2.7671,671,294
p0051,swap,B,-1.9117,-0.1617,-6.7867,671,287
p0052,orig,A,-0.2326,-1.6076,-4.9826,716,316
p0052,swap,B,-1.9118,-0.1618,-6.7868,716,310
p0053,orig,B,-3.1694,-0.0444,-6.6694,405,187
p0053,swap,A,-0.5334,-0.9084,-4.6584,405,180
p0054,orig,B,-1.3148,-0.3148,-7.1898,803,352
p0054,swap,A,-0.0217,-3.8967,-7.0217,803,343
p0055,orig,B,-1.8065,-0.1815,-7.3065,951,428
p0055,swap,A,-0.0124,-4.5124,-6.7624,951,414
p0056,orig,A,-0.3884,-1.1384,-7.0134,1173,538
p0056,swap,A,-0.1287,-2.1287,-6.5037,1173,532
p0057,orig,B,-2.3509,-0.1009,-7.7259,385,192
p0057,swap,A,-0.3980,-1.3980,-2.5230,385,179
p0058,orig,B,-2.4650,-0.0900,-7.5900,374,171
p0058,swap,A,-0.5198,-1.0198,-3.1448,374,163
p0059,orig,B,-3.4091,-0.0341,-8.4091,432,191
p0059,swap,B,-1.1379,-0.3879,-7.6379,432,185
p0060,orig,A,-0.4767,-0.9767,-6.2267,390,187
p0060,swap,B,-2.0182,-0.1432,-8.3932,390,175
p0061,orig,A,-0.5825,-0.8325,-5.0825,423,190
p0061,swap,B,-2.2383,-0.1133,-8.3633,423,178
p0062,orig,A,-0.2267,-1.6017,-7.2267,421,190
p0062,swap,B,-4.0188,-0.0188,-9.1438,421,177
p0063,orig,A,-0.3913,-1.1413,-5.5163,454,201
p0063,swap,B,-3.6518,-0.0268,-8.6518,454,191
p0064,orig,B,-2.1289,-0.1289,-6.3789,573,239
p0064,swap,A,-0.0936,-2.4686,-5.4686,573,230
p0065,orig,B,-3.7736,-0.0236,-8.6486,596,261
p0065,swap,A,-0.0077,-5.1327,-6.3827,596,252
p0066,orig,A,-0.6947,-0.6947,-6.6947,502,204
p0066,swap,A,-0.2542,-1.5042,-6.2542,502,202
p0067,orig,A,-0.0102,-4.7602,-6.5102,644,287
p0067,swap,B,-3.8958,-0.0208,-8.7708,644,276
p0068,orig,A,-0.0560,-2.9310,-6.9310,565,239
p0068,swap,B,-2.1276,-0.1276,-8.1276,565,229
p0069,orig,B,-1.3146,-0.3146,-7.3146,901,401
p0069,swap,A,-0.0638,-2.8138,-6.4388,901,387
p0070,orig,A,-0.2038,-1.7038,-6.3288,1027,459
p0070,swap,A,-0.3145,-1.3145,-7.1895,1027,458
p0071,orig,B,-1.4075,-0.2825,-6.9075,400,199
p0071,swap,B,-1.7023,-0.2023,-7.5773,400,183
p0072,orig,B,-4.0185,-0.0185,-8.7685,438,203
p0072,swap,A,-0.1628,-1.9128,-6.1628,438,190
p0073,orig,A,-0.5833,-0.8333,-4.9583,368,174
p0073,swap,B,-4.1416,-0.0166,-8.0166,368,162
p0074,orig,A,-0.1539,-2.0289,-4.5289,378,173
p0074,swap,B,-6.2521,-0.0021,-9.3771,378,161
p0075,orig,A,-0.1700,-1.9200,-4.6700,370,171
p0075,swap,B,-6.1274,-0.0024,-9.5024,370,161
p0076,orig,A,-0.1500,-2.0250,-5.0250,643,302
p0076,swap,B,-3.6518,-0.0268,-8.4018,643,293
p0077,orig,B,-3.1084,-0.1084,-2.8584,453,215
