pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0000,orig,A,-0.2260,-1.6010,-7.9760,757,485
p0000,swap,A,-0.1011,-2.3511,-7.7261,757,273
p0001,orig,B,-0.8266,-0.5766,-8.0766,850,339
p0001,swap,A,-0.0435,-3.1685,-8.2935,850,323
p0002,orig,A,-0.5242,-0.8992,-7.3992,1097,443
p0002,swap,A,-0.1009,-2.3509,-7.6009,1097,425
p0003,orig,A,-0.0478,-3.2978,-4.6728,1515,630
p0003,swap,B,-1.6026,-0.2276,-6.9776,1515,625
p0004,orig,B,-0.7602,-0.6352,-6.7602,1294,530
p0004,swap,A,-0.0960,-2.4710,-5.0960,1294,519
p0005,orig,A,-0.5769,-0.8269,-7.4519,371,155
p0005,swap,A,-0.2824,-1.4074,-7.4074,371,141
p0006,orig,A,-0.6952,-0.6952,-7.5702,587,262
p0006,swap,A,-0.1149,-2.2399,-6.3649,587,221
p0007,orig,A,-0.5783,-0.8283,-7.7033,706,277
p0007,swap,A,-0.0903,-2.4653,-7.2153,706,265
p0008,orig,A,-0.0795,-2.5795,-7.7045,576,219
p0008,swap,B,-1.7024,-0.2024,-9.2024,576,203
p0009,orig,A,-0.0900,-2.4650,-7.4650,651,260
p0009,swap,B,-1.0569,-0.4319,-8.1819,651,247
p0010,orig,A,-0.3928,-1.1428,-5.3928,709,279
p0010,swap,A,-0.2606,-1.5106,-5.0106,709,265
p0011,orig,B,-1.7062,-0.2062,-5.5812,795,310
p0011,swap,A,-0.0611,-2.9361,-5.1861,795,294
p0012,orig,A,-0.3524,-1.2274,-5.8524,621,343
p0012,swap,A,-0.5289,-0.9039,-5.4039,621,285
p0013,orig,B,-0.9047,-0.5297,-5.6547,838,480
p0013,swap,A,-0.1258,-2.2508,-4.3758,838,530
p0014,orig,A,-0.1823,-1.8073,-6.6823,733,478
p0014,swap,A,-0.1026,-2.3526,-6.6026,733,462
p0015,orig,A,-0.2535,-1.5035,-6.7535,824,508
p0015,swap,A,-0.1639,-1.9139,-5.7889,824,477
