pair_id,order,verdict,lp_A,lp_B,lp_C,prompt_tokens,ms
p0000,orig,B,-21.5000,0.0000,-21.3750,757,2118
p0000,swap,A,0.0000,-21.7500,-19.2500,757,1120
p0001,orig,B,-19.2500,0.0000,-20.0000,850,1296
p0001,swap,A,-0.0000,-18.7500,-16.5000,850,1291
p0002,orig,A,-0.0017,-6.5017,-8.5017,1097,1692
p0002,swap,B,-1.9147,-0.1647,-5.4147,1097,1702
p0003,orig,A,0.0000,-20.7500,-19.5000,1515,2377
p0003,swap,B,-21.7500,0.0000,-22.0000,1515,2382
p0004,orig,B,-22.2500,0.0000,-20.0000,1294,2039
p0004,swap,A,-0.0000,-14.0000,-13.2500,1294,2061
p0005,orig,A,-0.0092,-6.0092,-5.0092,371,595
p0005,swap,B,-15.0000,-0.0000,-15.5000,371,573
p0006,orig,A,-0.0002,-8.7502,-10.2502,587,940
p0006,swap,B,-11.7500,-0.0000,-16.5000,587,933
p0007,orig,B,-21.0000,0.0000,-20.5000,706,1138
p0007,swap,A,0.0000,-19.7500,-17.7500,706,1139
p0008,orig,A,-0.0000,-19.0000,-13.0000,576,1926
p0008,swap,B,-24.2500,0.0000,-20.0000,576,1107
p0009,orig,A,-0.0000,-17.5000,-14.0000,651,1357
p0009,swap,B,-20.5000,0.0000,-20.0000,651,1194
p0010,orig,B,-21.2500,0.0000,-20.2500,709,1395
p0010,swap,A,0.0000,-17.5000,-19.8750,709,1385
p0011,orig,B,-17.7500,0.0000,-20.1250,795,1525
p0011,swap,A,-0.0000,-13.2500,-18.5000,795,1506
p0012,orig,B,-0.8263,-0.5763,-7.8263,621,1154
p0012,swap,A,-0.0002,-8.7502,-11.5002,621,1133
p0013,orig,B,-22.8750,0.0000,-23.0000,838,1594
p0013,swap,A,0.0000,-21.7500,-20.0000,838,1551
p0014,orig,B,-14.7500,-0.0000,-13.7500,733,1374
p0014,swap,A,-0.0098,-4.7598,-6.7598,733,1413
p0015,orig,A,-0.0000,-11.0000,-11.5000,824,1537
p0015,swap,B,-15.0000,-0.0000,-19.0000,824,1537
p0016,orig,A,-0.0033,-5.7533,-9.5033,1284,2532
p0016,swap,B,-22.7500,0.0000,-21.6250,1284,2652
p0017,orig,B,-16.5000,-0.0000,-14.2500,566,1095
p0017,swap,A,-0.0000,-20.2500,-12.2500,566,1003
p0018,orig,B,-19.5000,0.0000,-18.2500,514,961
p0018,swap,A,-0.0000,-24.0000,-15.5000,514,1000
p0019,orig,B,-8.0004,-0.0004,-10.0004,674,1306
p0019,swap,A,-0.0000,-19.0000,-12.0000,674,1305
p0020,orig,A,-0.0000,-20.2500,-14.0000,563,987
p0020,swap,B,-16.0000,-0.0000,-14.0000,563,970
p0021,orig,A,0.0000,-24.1250,-17.5000,544,969
p0021,swap,B,-22.6250,0.0000,-20.8750,544,988
p0022,orig,B,-22.3750,0.0000,-21.8750,489,912
p0022,swap,A,0.0000,-21.7500,-17.0000,489,893
p0023,orig,B,-0.9441,-0.6941,-2.1941,438,794
p0023,swap,A,-0.0869,-4.8369,-2.5869,438,787
p0024,orig,A,-0.1272,-2.3772,-3.6272,588,1153
p0024,swap,A,-0.0000,-14.5000,-15.0000,588,1127
p0025,orig,B,-5.5046,-0.0046,-7.5046,611,1192
p0025,swap,A,0.0000,-18.7500,-17.0000,611,1124
p0026,orig,A,0.0000,-22.2500,-17.7500,597,1100
p0026,swap,B,-20.0000,0.0000,-17.7500,597,1111
p0027,orig,A,-0.0000,-23.8750,-13.2500,489,862
p0027,swap,B,-26.3750,0.0000,-18.3750,489,884
p0028,orig,B,-2.3507,-0.1007,-7.6007,1301,2901
p0028,swap,A,-0.0486,-3.0486,-14.5486,1301,2595
p0029,orig,A,-0.0007,-7.2507,-12.7507,1176,3458
p0029,swap,B,-17.0000,0.0000,-20.0000,1176,2350
p0030,orig,A,-0.6947,-0.6947,-6.4447,1270,2494
p0030,swap,B,-5.2552,-0.0052,-12.2552,1270,2440
p0031,orig,B,-17.5000,0.0000,-18.5000,509,896
p0031,swap,A,-0.0000,-16.0000,-10.5000,509,878
p0032,orig,A,0.0000,-25.1250,-17.2500,409,720
p0032,swap,B,-26.3750,0.0000,-20.8750,409,699
p0033,orig,A,0.0000,-22.5000,-17.5000,465,827
p0033,swap,B,-23.7500,0.0000,-21.8750,465,841
p0034,orig,A,-0.0000,-17.5000,-11.7500,416,752
p0034,swap,B,-12.2500,-0.0000,-13.2500,416,719
p0035,orig,A,-0.0000,-24.7500,-15.5000,380,662
p0035,swap,B,-26.2500,0.0000,-21.3750,380,655
p0036,orig,B,-23.2500,0.0000,-22.0000,421,744
p0036,swap,A,0.0000,-26.2500,-18.5000,421,752
p0037,orig,A,-0.0001,-19.0001,-9.5001,458,849
p0037,swap,B,-14.0000,-0.0000,-19.0000,458,857
p0038,orig,B,-17.7500,0.0000,-17.0000,472,872
p0038,swap,A,-0.0000,-16.5000,-13.0000,472,870
p0039,orig,A,-0.0000,-22.8750,-14.7500,398,708
p0039,swap,B,-25.2500,-0.0000,-16.2500,398,693
p0040,orig,A,-0.6941,-2.1941,-0.9441,476,872
p0040,swap,A,-0.0022,-7.2522,-6.5022,476,857
p0041,orig,A,-0.0000,-18.7500,-11.7500,390,736
p0041,swap,B,-22.8750,-0.0000,-13.2500,390,726
p0042,orig,B,-2.2395,-0.2395,-2.2395,468,912
p0042,swap,A,-0.0523,-3.8023,-3.5523,468,929
p0043,orig,A,-0.0000,-20.3750,-13.2500,390,734
p0043,swap,B,-23.8750,-0.0000,-15.2500,390,712
p0044,orig,B,-20.1250,0.0000,-20.2500,485,864
p0044,swap,A,-0.0000,-20.7500,-13.2500,485,890
p0045,orig,A,0.0000,-20.7500,-18.5000,788,1514
p0045,swap,B,-16.2500,-0.0000,-18.5000,788,1414
p0046,orig,C,-2.8290,-4.0790,-0.0790,624,1202
p0046,swap,A,-0.0385,-7.7885,-3.2885,624,1164
p0047,orig,B,-4.5113,-0.0113,-8.2613,644,1202
p0047,swap,A,-0.0017,-7.5017,-6.7517,644,1189
p0048,orig,B,-20.5000,-0.0000,-15.7500,505,889
p0048,swap,A,-0.0000,-21.6250,-10.0000,505,879
p0049,orig,B,-7.8293,-0.0793,-2.5793,438,758
p0049,swap,C,-2.3502,-13.6002,-0.1002,438,723
p0050,orig,A,-0.6932,-0.6932,-9.6932,431,727
p0050,swap,A,-0.1272,-8.3772,-2.1272,431,758
p0051,orig,A,-0.0000,-22.5000,-13.7500,637,1191
p0051,swap,B,-24.3750,0.0000,-18.0000,637,1151
p0052,orig,A,-0.0015,-14.2515,-6.5015,682,1255
p0052,swap,B,-21.7500,-0.0000,-14.0000,682,1250
p0053,orig,B,-23.5000,0.0000,-17.7500,371,667
p0053,swap,A,-0.1003,-9.8503,-2.3503,371,645
p0054,orig,B,-21.7500,0.0000,-20.7500,769,1409
p0054,swap,A,-0.0000,-20.6250,-15.0000,769,1567
p0055,orig,B,-25.7500,0.0000,-21.3750,917,1831
p0055,swap,A,-0.0000,-19.7500,-15.5000,917,1789
p0056,orig,B,-5.7541,-0.0041,-7.0041,1139,2387
p0056,swap,A,-0.0000,-12.5000,-13.5000,1139,3434
p0057,orig,B,-17.8750,-0.0000,-11.7500,351,1216
p0057,swap,A,-0.0000,-22.2500,-14.7500,351,671
p0058,orig,B,-14.5012,-0.0012,-6.7512,340,699
p0058,swap,A,-0.0000,-19.2500,-12.2500,340,682
p0059,orig,A,-0.0000,-15.0000,-13.0000,398,770
p0059,swap,B,-11.7500,-0.0000,-14.2500,398,761
p0060,orig,A,-0.0000,-12.0000,-14.7500,356,696
p0060,swap,B,-13.2500,-0.0000,-14.5000,356,685
p0061,orig,A,-0.0000,-21.5000,-16.0000,389,767
p0061,swap,B,-22.3750,0.0000,-18.0000,389,761
p0062,orig,A,-0.3133,-1.3133,-12.0633,387,770
