model,revision,qid,shift,correct_label,logit_A,logit_B,logit_C,logit_D
EleutherAI/pythia-160m-deduped,step143000,0,0,C,786.4474487304688,785.0870361328125,785.4267578125,784.2642211914062
EleutherAI/pythia-160m-deduped,step143000,0,1,B,785.7389526367188,784.325927734375,785.141357421875,783.7943725585938
EleutherAI/pythia-160m-deduped,step143000,0,2,A,785.8550415039062,784.0771484375,784.427978515625,783.4254150390625
EleutherAI/pythia-160m-deduped,step143000,0,3,D,786.9528198242188,785.5160522460938,787.0101928710938,785.1712036132812
EleutherAI/pythia-160m-deduped,step143000,1,0,B,785.0593872070312,782.8953857421875,782.8143310546875,783.7579956054688
EleutherAI/pythia-160m-deduped,step143000,1,1,A,786.0174560546875,784.2485961914062,784.1671142578125,784.5601806640625
EleutherAI/pythia-160m-deduped,step143000,1,2,D,784.9974975585938,783.0853881835938,783.0457763671875,783.6578979492188
EleutherAI/pythia-160m-deduped,step143000,1,3,C,785.2676391601562,783.31396484375,783.2297973632812,783.6290893554688
EleutherAI/pythia-160m-deduped,step143000,2,0,A,786.151123046875,784.3408813476562,784.5047607421875,784.0007934570312
EleutherAI/pythia-160m-deduped,step143000,2,1,D,786.0060424804688,784.0020141601562,784.400390625,783.8954467773438
EleutherAI/pythia-160m-deduped,step143000,2,2,C,785.8057250976562,784.0208129882812,784.3726806640625,783.8639526367188
EleutherAI/pythia-160m-deduped,step143000,2,3,B,786.053466796875,784.1062622070312,784.3296508789062,784.0421752929688
EleutherAI/pythia-160m-deduped,step143000,3,0,B,787.5431518554688,785.9825439453125,786.1626586914062,785.4577026367188
EleutherAI/pythia-160m-deduped,step143000,3,1,A,787.3001708984375,785.7338256835938,785.6954345703125,784.879150390625
EleutherAI/pythia-160m-deduped,step143000,3,2,D,787.3417358398438,785.8671264648438,785.7163696289062,784.9667358398438
EleutherAI/pythia-160m-deduped,step143000,3,3,C,787.1880493164062,785.8085327148438,785.6392822265625,784.55810546875
EleutherAI/pythia-160m-deduped,step143000,4,0,C,784.0906372070312,782.2379150390625,783.1940307617188,782.5136108398438
EleutherAI/pythia-160m-deduped,step143000,4,1,B,784.6923217773438,783.4935302734375,783.7714233398438,783.2445068359375
EleutherAI/pythia-160m-deduped,step143000,4,2,A,785.1348266601562,783.8038940429688,784.2803955078125,783.5853271484375
EleutherAI/pythia-160m-deduped,step143000,4,3,D,785.1837768554688,783.8095092773438,784.1076049804688,783.5638427734375
EleutherAI/pythia-160m-deduped,step143000,5,0,D,785.9486694335938,782.8584594726562,783.5172729492188,782.8632202148438
EleutherAI/pythia-160m-deduped,step143000,5,1,C,786.1674194335938,783.2386474609375,783.7801513671875,783.0119018554688
EleutherAI/pythia-160m-deduped,step143000,5,2,B,785.9828491210938,783.1180419921875,783.5927124023438,782.7589721679688
