model,revision,qid,shift,correct_label,logit_A,logit_B,logit_C,logit_D
EleutherAI/pythia-2.8b-deduped,step143000,0,0,C,15.3359375,15.625,15.921875,15.53125
EleutherAI/pythia-2.8b-deduped,step143000,0,1,B,15.1953125,15.4921875,15.71875,15.4140625
EleutherAI/pythia-2.8b-deduped,step143000,0,2,A,15.203125,15.5703125,15.625,15.2421875
EleutherAI/pythia-2.8b-deduped,step143000,0,3,D,15.3046875,15.5390625,15.8125,15.40625
EleutherAI/pythia-2.8b-deduped,step143000,1,0,B,13.9921875,14.6171875,14.4296875,14.4140625
EleutherAI/pythia-2.8b-deduped,step143000,1,1,A,14.0703125,14.6328125,14.5,14.484375
EleutherAI/pythia-2.8b-deduped,step143000,1,2,D,14.0078125,14.53125,14.328125,14.296875
EleutherAI/pythia-2.8b-deduped,step143000,1,3,C,13.859375,14.4609375,14.1953125,14.1640625
EleutherAI/pythia-2.8b-deduped,step143000,2,0,A,14.515625,14.3515625,14.2421875,14.0390625
EleutherAI/pythia-2.8b-deduped,step143000,2,1,D,14.5234375,14.5,14.2265625,14.1484375
EleutherAI/pythia-2.8b-deduped,step143000,2,2,C,14.6328125,14.6328125,14.375,14.296875
EleutherAI/pythia-2.8b-deduped,step143000,2,3,B,14.4765625,14.296875,14.1953125,14.09375
EleutherAI/pythia-2.8b-deduped,step143000,3,0,B,15.453125,15.4375,15.5078125,15.53125
EleutherAI/pythia-2.8b-deduped,step143000,3,1,A,15.40625,15.5078125,15.6640625,15.375
EleutherAI/pythia-2.8b-deduped,step143000,3,2,D,15.3671875,15.53125,15.5859375,15.4140625
EleutherAI/pythia-2.8b-deduped,step143000,3,3,C,15.5078125,15.5234375,15.6796875,15.4765625
EleutherAI/pythia-2.8b-deduped,step143000,4,0,C,14.3828125,14.390625,14.8125,14.65625
EleutherAI/pythia-2.8b-deduped,step143000,4,1,B,14.40625,14.3359375,14.7578125,14.5234375
EleutherAI/pythia-2.8b-deduped,step143000,4,2,A,14.5390625,14.515625,14.9140625,14.7734375
EleutherAI/pythia-2.8b-deduped,step143000,4,3,D,14.3984375,14.3359375,14.921875,14.734375
EleutherAI/pythia-2.8b-deduped,step143000,5,0,D,14.828125,15.015625,15.140625,15.1953125
EleutherAI/pythia-2.8b-deduped,step143000,5,1,C,14.7890625,14.9765625,15.0546875,15.171875
EleutherAI/pythia-2.8b-deduped,step143000,5,2,B,14.8125,14.9765625,15.0390625,15.2421875
EleutherAI/pythia-2.8b-deduped,step143000,5,3,A,14.9453125,15.0546875,15.1875,15.28125
EleutherAI/pythia-2.8b-deduped,step143000,6,0,A,14.734375,15.203125,14.96875,14.9765625
EleutherAI/pythia-2.8b-deduped,step143000,6,1,D,14.890625,15.2890625,15.015625,15.078125
EleutherAI/pythia-2.8b-deduped,step143000,6,2,C,14.703125,15.1796875,15.0234375,14.984375
EleutherAI/pythia-2.8b-deduped,step143000,6,3,B,15.03125,15.4296875,15.1328125,15.15625
EleutherAI/pythia-2.8b-deduped,step143000,7,0,D,14.8671875,14.9765625,14.921875,14.75
EleutherAI/pythia-2.8b-deduped,step143000,7,1,C,14.8046875,14.9609375,14.7890625,14.796875
EleutherAI/pythia-2.8b-deduped,step143000,7,2,B,14.9140625,15.03125,14.96875,14.890625
EleutherAI/pythia-2.8b-deduped,step143000,7,3,A,14.921875,15.09375,14.90625,14.859375
EleutherAI/pythia-2.8b-deduped,step143000,8,0,C,14.8046875,15.3203125,14.9609375,14.8828125
EleutherAI/pythia-2.8b-deduped,step143000,8,1,B,15.0703125,15.40625,15.2421875,14.9921875
EleutherAI/pythia-2.8b-deduped,step143000,8,2,A,14.9375,15.296875,15.09375,14.8359375
EleutherAI/pythia-2.8b-deduped,step143000,8,3,D,15.0390625,15.5546875,15.1484375,15.0546875
EleutherAI/pythia-2.8b-deduped,step143000,9,0,B,13.9296875,14.1796875,14.2734375,14.125
EleutherAI/pythia-2.8b-deduped,step143000,9,1,A,13.6796875,14.125,14.1328125,14.0
EleutherAI/pythia-2.8b-deduped,step143000,9,2,D,13.6796875,14.125,14.125,14.0
EleutherAI/pythia-2.8b-deduped,step143000,9,3,C,13.9765625,14.4296875,14.46875,14.3046875
EleutherAI/pythia-2.8b-deduped,step143000,10,0,A,14.5625,15.0390625,15.1328125,15.2109375
EleutherAI/pythia-2.8b-deduped,step143000,10,1,D,14.609375,14.9609375,15.1171875,15.21875
EleutherAI/pythia-2.8b-deduped,step143000,10,2,C,14.375,14.796875,15.0703125,14.9609375
EleutherAI/pythia-2.8b-deduped,step143000,10,3,B,14.7109375,15.078125,15.2578125,15.203125
EleutherAI/pythia-2.8b-deduped,step143000,11,0,D,15.0703125,15.5859375,15.34375,15.2421875
EleutherAI/pythia-2.8b-deduped,step143000,11,1,C,15.1796875,15.4296875,15.2421875,15.1171875
EleutherAI/pythia-2.8b-deduped,step143000,11,2,B,15.046875,15.3671875,15.109375,15.0078125
EleutherAI/pythia-2.8b-deduped,step143000,11,3,A,15.2421875,15.5234375,15.328125,15.2421875
EleutherAI/pythia-2.8b-deduped,step143000,12,0,C,14.4765625,14.4609375,14.6171875,14.8046875
EleutherAI/pythia-2.8b-deduped,step143000,12,1,B,14.328125,14.3203125,14.4609375,14.828125
EleutherAI/pythia-2.8b-deduped,step143000,12,2,A,14.5078125,14.5,14.7421875,14.8203125
EleutherAI/pythia-2.8b-deduped,step143000,12,3,D,14.265625,14.3203125,14.3984375,14.71875
EleutherAI/pythia-2.8b-deduped,step143000,13,0,D,14.4921875,14.5234375,14.75,14.7109375
EleutherAI/pythia-2.8b-deduped,step143000,13,1,C,14.6796875,14.734375,14.9765625,14.8984375
EleutherAI/pythia-2.8b-deduped,step143000,13,2,B,14.578125,14.625,14.8984375,14.7421875
EleutherAI/pythia-2.8b-deduped,step143000,13,3,A,14.4609375,14.6015625,14.8125,14.7890625
EleutherAI/pythia-2.8b-deduped,step143000,14,0,B,15.3203125,15.5,15.4296875,15.046875
EleutherAI/pythia-2.8b-deduped,step143000,14,1,A,15.3828125,15.53125,15.6171875,15.140625
EleutherAI/pythia-2.8b-deduped,step143000,14,2,D,15.4296875,15.734375,15.6953125,15.2109375
EleutherAI/pythia-2.8b-deduped,step143000,14,3,C,15.2421875,15.4921875,15.3515625,15.078125
EleutherAI/pythia-2.8b-deduped,step143000,15,0,C,14.4921875,15.0234375,14.9296875,15.21875
EleutherAI/pythia-2.8b-deduped,step143000,15,1,B,14.453125,14.9921875,14.9296875,15.1953125
EleutherAI/pythia-2.8b-deduped,step143000,15,2,A,14.40625,14.984375,14.921875,15.234375
EleutherAI/pythia-2.8b-deduped,step143000,15,3,D,14.3984375,14.9765625,14.921875,15.2109375
EleutherAI/pythia-2.8b-deduped,step143000,16,0,D,14.21875,14.5,14.3359375,14.3046875
EleutherAI/pythia-2.8b-deduped,step143000,16,1,C,14.21875,14.46875,14.484375,14.265625
EleutherAI/pythia-2.8b-deduped,step143000,16,2,B,14.25,14.546875,14.3671875,14.3046875
EleutherAI/pythia-2.8b-deduped,step143000,16,3,A,14.2890625,14.6171875,14.4921875,14.3515625
EleutherAI/pythia-2.8b-deduped,step143000,17,0,A,14.9140625,15.296875,15.40625,15.25
EleutherAI/pythia-2.8b-deduped,step143000,17,1,D,14.8984375,15.3046875,15.3515625,15.2578125
EleutherAI/pythia-2.8b-deduped,step143000,17,2,C,14.9140625,15.3984375,15.609375,15.4296875
EleutherAI/pythia-2.8b-deduped,step143000,17,3,B,15.0078125,15.4765625,15.578125,15.4921875
